index,pair,tile,action
426,91,106,88
427,100,106,47
428,121,106,25
429,153,106,22
430,200,106,47
431,5,107,12
432,31,107,1
433,42,107,92
434,48,107,23
435,60,107,35
436,73,107,7
437,77,107,94
438,78,107,15
439,106,107,88
440,109,107,87
441,111,107,4
442,113,107,0
443,195,107,95
444,198,107,33
445,200,107,105
446,252,107,21
447,259,107,88
448,260,107,57
449,11,108,5
450,20,108,0
451,24,108,92
452,32,108,16
453,46,108,86
454,49,108,52
455,56,108,7
456,64,108,13
457,87,108,58
458,122,108,33
459,134,108,1
460,188,108,86
461,191,108,37
462,203,108,68
463,208,108,91
464,210,108,28
465,214,108,21
466,217,108,104
467,251,108,2
468,269,108,3
469,450,108,35
470,450,108,91
471,1,109,4
472,3,109,44
473,6,109,40
474,8,109,46
475,11,109,45
476,12,109,67
477,29,109,32
478,31,109,15
479,32,109,40
480,33,109,92
481,36,109,93
482,37,109,93
483,43,109,42
484,46,109,45
485,51,109,43
486,52,109,3
487,55,109,4
488,62,109,94
489,73,109,27
490,75,109,95
491,88,109,5
492,89,109,2
493,107,109,51
494,112,109,95
495,114,109,107
496,115,109,94
497,161,109,33
498,166,109,57
499,187,109,86
500,214,109,20
501,220,109,1
502,224,109,15
503,227,109,23
504,233,109,107
505,250,109,3
506,15,110,1
507,19,110,31
508,39,110,5
509,45,110,6
510,69,110,3
511,70,110,7
512,71,110,56
513,83,110,71
514,86,110,93
515,91,110,95
516,105,110,67
517,118,110,87
518,154,110,7
519,190,110,47
520,211,110,10
521,218,110,95
522,236,110,6
523,263,110,51
524,268,110,57
525,351,110,1
526,4,111,83
527,25,111,106
528,39,111,1
529,42,111,8
530,65,111,94
531,66,111,40
532,67,111,103
533,68,111,0
534,69,111,92
535,72,111,45
536,74,111,86
537,77,111,93
538,78,111,57
539,82,111,21
540,83,111,87
541,87,111,103
542,88,111,47
543,91,111,16
544,157,111,105
545,198,111,95
546,201,111,93
547,202,111,74
548,212,111,71
549,219,111,14
550,221,111,47
551,234,111,57
552,242,111,40
553,248,111,1
554,250,111,81
555,255,111,31
556,351,111,20
557,0,112,45
558,5,112,0
559,7,112,39
560,9,112,8
561,9,112,22
562,13,112,23
563,18,112,6
564,21,112,33
565,23,112,20
566,28,112,2
567,31,112,0
568,33,112,21
569,39,112,106
570,41,112,5
571,45,112,44
572,49,112,81
573,52,112,42
574,56,112,15
575,58,112,0
576,59,112,28
577,63,112,35
578,87,112,9
579,89,112,45
580,96,112,9
581,100,112,94
582,105,112,77
583,109,112,107
584,114,112,3
585,146,112,71
586,151,112,16
587,151,112,104
588,224,112,26
589,262,112,31
590,3,113,3
591,17,113,3
592,21,113,13
593,21,113,25
594,38,113,6
595,45,113,16
596,78,113,23
597,82,113,10
598,86,113,6
599,111,113,16
600,133,113,93
601,162,113,8
602,165,113,80
603,187,113,2
604,196,113,15
605,517,113,51
606,69,114,45
607,80,114,74
608,82,114,43
609,106,114,26
610,14,116,68
611,47,116,90
612,18,117,86
613,20,117,52
614,28,117,42
615,31,117,88
616,38,117,22
617,40,117,15
618,42,117,89
619,43,117,103
620,100,117,104
621,103,117,50
622,107,117,38
623,201,117,46
624,212,117,78
625,218,117,84
626,26,122,90
627,105,122,76
628,52,123,34
629,90,123,40
630,151,123,30
631,179,123,46
632,181,123,22
633,190,123,22
634,195,123,13
635,96,124,90
636,69,125,44
637,78,125,17
638,39,126,75
639,65,126,45
640,77,126,23
641,2,127,44
642,9,127,93
643,13,127,10
644,16,127,93
645,30,127,80
646,32,127,2
647,47,127,3
648,66,127,54
649,106,127,44
650,110,127,44
651,200,127,68
652,70,128,44
653,74,128,94
654,76,128,34
655,79,128,0
656,79,128,81
657,45,131,92
658,115,131,90
659,122,131,10
660,24,132,41
661,32,132,22
662,33,132,12
663,39,132,41
664,39,132,64
665,368,132,58
666,450,132,104
667,2,140,5
668,6,140,1
669,48,140,17
670,189,140,95
671,522,140,29
